# FileTable database for WWF No Mercy (August 2000 prototype)
0002=AkiText;Default Character Names
0154=Binary;Wrestler Params 0001 (The Rock)
0155=Binary;Wrestler Moveset 0001 (The Rock)
0156=Binary;Wrestler Params 0002 (Austin)
0157=Binary;Wrestler Moveset 0002 (Austin)
0158=Binary;Wrestler Params 0003 (Undertaker)
0159=Binary;Wrestler Moveset 0003 (Undertaker)
015A=Binary;Wrestler Params 0004 (Kane)
015B=Binary;Wrestler Moveset 0004 (Kane)
015C=Binary;Wrestler Params 0005 (Big Show)
015D=Binary;Wrestler Moveset 0005 (Big Show)
015E=Binary;Wrestler Params 0006 (Mankind)
015F=Binary;Wrestler Moveset 0006 (Mankind)
0160=Binary;Wrestler Params 0007 (Cactus)
0161=Binary;Wrestler Moveset 0007 (Cactus)
0162=Binary;Wrestler Params 0009 (HBK)
0163=Binary;Wrestler Moveset 0009 (HBK)
0164=Binary;Wrestler Params 0101 (Triple H)
0165=Binary;Wrestler Moveset 0101 (Triple H)
0166=Binary;Wrestler Params 0102 (X-Pac)
0167=Binary;Wrestler Moveset 0102 (X-Pac)
0168=Binary;Wrestler Params 0103 (Mr. Ass)
0169=Binary;Wrestler Moveset 0103 (Mr. Ass)
016A=Binary;Wrestler Params 0104 (Road Dogg)
016B=Binary;Wrestler Moveset 0104 (Road Dogg)
016C=Binary;Wrestler Params 0201 (Benoit)
016D=Binary;Wrestler Moveset 0201 (Benoit)
016E=Binary;Wrestler Params 0202 (Malenko)
016F=Binary;Wrestler Moveset 0202 (Malenko)
0170=Binary;Wrestler Params 0203 (Saturn)
0171=Binary;Wrestler Moveset 0203 (Saturn)
0172=Binary;Wrestler Params 0204 (Guerrero)
0173=Binary;Wrestler Moveset 0204 (Guerrero)
0174=Binary;Wrestler Params 0301 (Jericho)
0175=Binary;Wrestler Moveset 0301 (Jericho)
0176=Binary;Wrestler Params 0302 (Angle)
0177=Binary;Wrestler Moveset 0302 (Angle)
0178=Binary;Wrestler Params 0303 (Tazz)
0179=Binary;Wrestler Moveset 0303 (Tazz)
017A=Binary;Wrestler Params 0304 (Test)
017B=Binary;Wrestler Moveset 0304 (Test)
017C=Binary;Wrestler Params 0305 (Godfather)
017D=Binary;Wrestler Moveset 0305 (Godfather)
017E=Binary;Wrestler Params 0306 (D'Lo)
017F=Binary;Wrestler Moveset 0306 (D'Lo)
0180=Binary;Wrestler Params 0307 (Venis)
0181=Binary;Wrestler Moveset 0307 (Venis)
0182=Binary;Wrestler Params 0308 (Shamrock)
0183=Binary;Wrestler Moveset 0308 (Shamrock)
0184=Binary;Wrestler Params 0401 (Rikishi)
0185=Binary;Wrestler Moveset 0401 (Rikishi)
0186=Binary;Wrestler Params 0402 (Sexay)
0187=Binary;Wrestler Moveset 0402 (Sexay)
0188=Binary;Wrestler Params 0403 (Scotty)
0189=Binary;Wrestler Moveset 0403 (Scotty)
018A=Binary;Wrestler Params 0404 (Edge)
018B=Binary;Wrestler Moveset 0404 (Edge)
018C=Binary;Wrestler Params 0405 (Christian)
018D=Binary;Wrestler Moveset 0405 (Christian)
018E=Binary;Wrestler Params 0406 (Matt)
018F=Binary;Wrestler Moveset 0406 (Matt)
0190=Binary;Wrestler Params 0407 (Jeff)
0191=Binary;Wrestler Moveset 0407 (Jeff)
0192=Binary;Wrestler Params 0501 (Faarooq)
0193=Binary;Wrestler Moveset 0501 (Faarooq)
0194=Binary;Wrestler Params 0502 (Bradshaw)
0195=Binary;Wrestler Moveset 0502 (Bradshaw)
0196=Binary;Wrestler Params 0503 (D-Von)
0197=Binary;Wrestler Moveset 0503 (D-Von)
0198=Binary;Wrestler Params 0504 (Buh Buh)
